Название,Продолжительность,movies_duration
Солнце,"Midsommar, 148 мин",148
Маршалл,"Marshall, 118 мин",118
Замуж на 2 дня,"Un plan parfait, 101 мин",101
Мулен Руж,"Moulin Rouge!, 123 мин",123
В стране чудес,"Alice in Wonderland, 108 мин",108
Время женщин,82 мин,82
Море внутри,"Mar adentro, 126 мин",126
Дуэлянт,110 мин,110
Улыбка Моны Лизы,"Mona Lisa Smile, 117 мин",117
Самая обаятельная и привлекательная,81 мин,81
Мечтатель,"Dreamer: Inspired by a True Story, 106 мин",106
Крик 6,"Scream VI, 122 мин",122
Оборотни,"Jin-Rou, 102 мин",102
Подсолнух,"Sunflower, 98 мин",98
Люди Икс: Апокалипсис,"X-Men: Apocalypse, 143 мин",143
Найди еврея,"Fargo, 53 мин",53
Все пары делают это,"Daddy Cool, 97 мин",97
Летучая мышь,141 мин,141
На крючке,"Eagle Eye, 118 мин",118
Хорошая девочка,"The Good Girl, 93 мин",93
15 минут славы,"15 Minutes, 120 мин",120
Безумный Макс,"Mad Max: Fury Road, 120 мин",120
Настоящие женщины всегда в теле,"Real Women Have Curves, 90 мин",90
Геймер,"Gamer, 95 мин",95
Игрок,"The Gambler, 111 мин",111
Мексиканец,"The Mexican, 123 мин",123
Король говорит!,"The King's Speech, 118 мин",118
Сердце из стали,"Ji qi zhi xue, 110 мин",110
Сексуальные формы,"The Shape of Water, 123 мин",123
Ключ от всех дверей,"The Skeleton Key, 104 мин",104
Дом на другой стороне,"The Night House, 107 мин",107
Головоломка 2,"Inside Out 2, 96 мин",96
Авария,"Breakdown, 93 мин",93
Союзники,"Allied, 121 мин",121
Джиа,"Gia, 120 мин",120
"Дом, в котором я живу",100 мин,100
Рыцари справедливости,"Retfærdighedens ryttere, 116 мин",116
Во тьме,"In the Dark, 42 мин",42
Панно,"Painéis de São Vicente de Fora - Visão Poética, 16 мин",16
Дворецкий,"The Butler, 132 мин",132
МАТЧ ПРЕМЬЕР,"First Match, 102 мин",102
Маккуин,"McQueen, 111 мин",111
Чокнутый профессор,"The Nutty Professor, 95 мин",95
"Здравствуй, папа, Новый год!","Daddy's Home 2, 100 мин",100
Телохранитель,"Bodyguard, 360 мин",360
Смешарики. Начало,86 мин,86
Розовая пантера,"The Pink Panther, 93 мин",93
...И другие официальные лица,89 мин,89
Окончательный анализ,"Final Analysis, 124 мин",124
Печать царя Соломона,82 мин,82
Дракула,"Bram Stoker's Dracula, 128 мин",128
Малыш на драйве,"Baby Driver, 113 мин",113
Клетка,"The Cell, 107 мин",107
Мордекай,"Mortdecai, 107 мин",107
Филипп Траум,137 мин,137
Риддик,"Riddick, 119 мин",119
Заплати другому,"Pay It Forward, 123 мин",123
Скрытая угроза,"Domestic Disturbance, 89 мин",89
Три икса,"xXx, 124 мин",124
Пропавшая,"Last Seen Alive, 95 мин",95
Дочь Якудзы,81 мин,81
Рай,"Бейиш эненин таманында, 137 мин",137
Мой домашний динозавр,"The Water Horse, 112 мин",112
Эквилибриум,"Equilibrium, 107 мин",107
Стрелок,"Shooter, 124 мин",124
Все эти создания,"All These Creatures, 14 мин",14
Джок,"Joker, 122 мин",122
Мистер Икс,88 мин,88
Детка,107 мин,107
Радость секса,"Joy of Sex, 93 мин",93
Много шума из ничего,"Much Ado About Nothing, 161 мин",161
Дом на обочине,103 мин,103
Понедельник,"Monday, 116 мин",116
Миссия: Невыполнима,"Mission: Impossible, 110 мин",110
Котик в саду,"Gekijouban Servamp: Alice in the Garden, 84 мин",84
"Люблю, потому что люблю",93 мин,93
Четыре Рождества,"Four Christmases, 88 мин",88
Конференция,"Konferensen, 98 мин",98
Конфликты,"Cracks, 10 мин",10
Холоп,119 мин,119
Новые приключения неуловимых,82 мин,82
Эдисон,"Edison, 99 мин",99
Черная месса,"Black Mass, 123 мин",123
Мой сын,"Mon fils à moi, 79 мин",79
Вольт,"Bolt, 96 мин",96
Несносные леди,"Mother's Day, 119 мин",119
13 грехов,"13 Sins, 88 мин",88
Идеальный мужчина,"Un homme idéal, 104 мин",104
Рокки 4,"Rocky IV, 91 мин",91
Старый Генри,"Old Henry, 99 мин",99
Турбо,"Turbo, 96 мин",96
Анжелика и король,"Angélique et le roy, 100 мин",100
Лови момент,78 мин,78
Олли и сокровища пиратов,"Dive Olly Dive and the Pirate Treasure, 80 мин",80
Похитители книг,90 мин,90
Я - легенда,"I Am Legend, 96 мин",96
Искусство отдыхать,88 мин,88
На твоей волне,"Kimi to, nami ni noretara, 95 мин",95
Ирландец,"The Irishman, 209 мин",209
Прибытие,"Arrival, 116 мин",116
Легенда о пианисте,"La leggenda del pianista sull'oceano, 120 мин",120
Звёздный путь 4: Дорога домой,"Star Trek IV: The Voyage Home, 119 мин",119
Небеса подождут,52 мин,52
Госпожа горничная,"Maid in Manhattan, 105 мин",105
Махнем на Луну!,"Condorito: La película, 88 мин",88
Бладшот,"Bloodshot, 109 мин",109
Голос за кадром,"Voice Over, 10 мин",10
Аббатство Даунтон 2,"Downton Abbey: A New Era, 124 мин",124
Коматозники,"Flatliners, 109 мин",109
Большой,"Snatch, 104 мин",104
Старшая сестра,102 мин,102
Однажды в провинции,112 мин,112
Каждый 88,26 мин,26
Влюбленные,"Yeonin, 60 мин",60
Прекрасные создания,"Beautiful Creatures, 124 мин",124
Часы,"The Hours, 110 мин",110
Друг невесты,"Made of Honor, 97 мин",97
Бедная богатая девочка,"Young Adult, 94 мин",94
Пятая волна,"The 5th Wave, 112 мин",112
Я слежу за тобой,22 мин,22
Проклятие плачущей,"The Curse of La Llorona, 93 мин",93
Чего хотят мужчины,"What Men Want, 117 мин",117
Свобода,"Libertate, 109 мин",109
Рио 2,"Rio 2, 101 мин",101
Анатомия убийств,44 мин,44
Superнянь,"Babysitting, 84 мин",84
"Помогите, я уменьшил своих родителей!","Hilfe, ich hab meine Eltern geschrumpft, 93 мин",93
Судьба человека,97 мин,97
Счастье,"Haepiniseu, 70 мин",70
Дом с привидениями,"Das schaurige Haus, 100 мин",100
Дикая,"Wild, 115 мин",115
Хеллбой II: Золотая армия,"Hellboy II: The Golden Army, 120 мин",120
Гномео и Джульетта,"Gnomeo & Juliet, 84 мин",84
Королевский роман,"En kongelig affære, 137 мин",137
Такие разные близнецы,"Jack and Jill, 94 мин",94
Люди Икс: Дни минувшего будущего,"X-Men: Days of Future Past, 131 мин",131
ЛЕГО Фильм 2,"The Lego Movie 2: The Second Part, 107 мин",107
Виселица,"Hangman, 98 мин",98
Этика долга,74 мин,74
Суходол,89 мин,89
Выстрел,"Shot Caller, 120 мин",120
Ип Ман 4,"Yip Man 4, 107 мин",107
Девушка в поезде,"The Girl on the Train, 112 мин",112
Вверх,"Up, 96 мин",96
Дорогой Фрэнки,"Dear Frankie, 105 мин",105
До Нового года осталось,87 мин,87
Страсти Дон Жуана,"Don Jon, 90 мин",90
Первый клон,"Seobok, 114 мин",114
Эпидемия,48 мин,48
Любовь со взломом,"Breaking & Exiting, 78 мин",78
Трудный ребенок 2,"Problem Child 2, 90 мин",90
Соседи. На тропе войны,"Neighbors, 97 мин",97
Незваный гость,"Chimipja, 102 мин",102
Шевели ластами 2,"Sammy's avonturen 2, 90 мин",90
Санта Клаус,"The Santa Clause, 93 мин",93
Бегущий по лезвию 2049,"Blade Runner 2049, 164 мин",164
Нотр-Дам,"Notre Dame, 88 мин",88
Генрих,"Henri 4, 155 мин",155
Примо,128 мин,128
Ультиматум,"The Bourne Ultimatum, 115 мин",115
Бабушкин внук,82 мин,82
Робин Гуд. Начало,"Robin Hood, 116 мин",116
Виктория,"Victoria, 60 мин",60
Несколько женщин,"Certain Women, 107 мин",107
Соври мне правду,88 мин,88
Выпуск 4,85 мин,85
Принцесса Монако,"Grace of Monaco, 102 мин",102
Мысли о свободе,"Duma, 100 мин",100
Пацаны,"The Boys, 60 мин",60
Самолёты,"Planes, 91 мин",91
Из России с любовью,"From Russia with Love, 110 мин",110
Обычные люди,"Everyday People, 91 мин",91
Хроники Нарнии. Покоритель зари,"The Chronicles of Narnia: The Voyage of the Dawn Treader, 112 мин",112
Королевство кривых зеркал,75 мин,75
Любовь с первого взгляда,"Two Night Stand, 86 мин",86
Никто,"Nobody, 92 мин",92
Лесная братва,"Over the Hedge, 83 мин",83
Быстрее пули,"Bullet Train, 126 мин",126
Американский пирог 2,"American Pie 2, 111 мин",111
Оз: Великий и ужасный,"Oz the Great and Powerful, 127 мин",127
Двенадцать месяцев,55 мин,55
Поезд на Юму,"3:10 to Yuma, 122 мин",122
Парфюмер,"Perfume: The Story of a Murderer, 147 мин",147
Женщина в черном 2: Ангел смерти,"The Woman in Black 2: Angel of Death, 94 мин",94
Пила: Игра на выживание,"Saw, 103 мин",103
Волшебная сила,64 мин,64
Любовь не по размеру,"Un homme à la hauteur, 98 мин",98
"Я всё ещё знаю, что вы сделали прошлым летом","I Still Know What You Did Last Summer, 100 мин",100
Напряги извилины,"Get Smart, 110 мин",110
Джон Ф. Кеннеди: Выстрелы в Далласе,"JFK, 181 мин",181
Враг у ворот,"Enemy at the Gates, 131 мин",131
Жестокая расплата,"Coming Home in the Dark, 93 мин",93
Страх и ненависть в Лас-Вегасе,"Fear and Loathing in Las Vegas, 118 мин",118
Литл Гром,"Yakari, le film, 82 мин",82
Монстры на каникулах 2,"Hotel Transylvania 2, 89 мин",89
Мачеха,"Stepmom, 120 мин",120
Разлом Сан-Андреас,"San Andreas, 114 мин",114
Сэлинджер,"Salinger, 120 мин",120
Овсянки,75 мин,75
Сплит,"Split, 117 мин",117
ЛЕГО Фильм,"The Lego Movie, 100 мин",100
Бакенбарды,100 мин,100
Хоть раз в жизни,"Begin again, 101 мин",101
Погружение,"Submergence, 112 мин",112
Обыкновенная страсть,"Passion simple, 99 мин",99
Схема,"The Scheme, 68 мин",68
Андрей Рублев,175 мин,175
Это так работает,10 мин,10
Совращенные доктором,"Austin Powers: The Spy Who Shagged Me, 95 мин",95
Верзила,"The Tall Man, 106 мин",106
Дельфин Берни 2,"Bernie the Dolphin 2, 99 мин",99
Матрица: Перезагрузка,"The Matrix Reloaded, 138 мин",138
Двое в новом доме,80 мин,80
Дорогие товарищи!,121 мин,121
Начало,"Inception, 148 мин",148
Движение вверх,133 мин,133
Этот новый мир,"La croisade, 67 мин",67
Аргентинское танго,"Tanghi argentini, 14 мин",14
Офицер и джентльмен,"An Officer and a Gentleman, 124 мин",124
Бегущий в лабиринте,"The Maze Runner, 113 мин",113
Голубая лагуна,"Blue Lagoon: The Awakening, 96 мин",96
Голдфингер,"Goldfinger, 110 мин",110
Знакомство с родителями,"Meet the Parents, 108 мин",108
Бараны,"Rams, 119 мин",119
Меч дракона,"Tian jiang xiong shi, 122 мин",122
Звёзды мне укажут путь,105 мин,105
Прошлой ночью в Нью-Йорке,"Last Night, 85 мин",85
Леденец,"Hard Candy, 103 мин",103
Майские звезды,"Mayskie zvyozdy, 95 мин",95
Пылающий,"Beoning, 148 мин",148
Синяя птица,99 мин,99
Горы,"Mountain, 74 мин",74
Открытое море,"Dead Sea, 88 мин",88
Эрин Брокович,"Erin Brockovich, 126 мин",126
Я - Сэм,"I Am Sam, 132 мин",132
О подростках: замкнулся и не разговаривает,"Carrie, 98 мин",98
28 недель спустя,"28 Weeks Later, 100 мин",100
Холодное танго,107 мин,107
Умник,"Monsieur je-sais-tout, 99 мин",99
Перед рассветом,"Before Sunrise, 101 мин",101
Управление гневом,"Anger Management, 106 мин",106
Человек с золотым пистолетом,"The Man with the Golden Gun, 125 мин",125
День сурка,"Groundhog Day, 101 мин",101
Погоня,"Abduction, 106 мин",106
Впритык,"Due Date, 95 мин",95
Свет моей жизни,"Light of My Life, 119 мин",119
Бегущая в лабиринте,"Méandre, 90 мин",90
Ледяная принцесса,"Tabaluga, 90 мин",90
Зеркало для героя,139 мин,139
Огонь,131 мин,131
Ты не ты,"You're Not You, 103 мин",103
Бойся темноты,"Ogre, 103 мин",103
Миддлтон,"At Middleton, 99 мин",99
Горячие истории,"Kizumonogatari II: Nekketsu-hen, 68 мин",68
Босс-молокосос,"The Boss Baby, 97 мин",97
Любовь вслепую,"Blind, 98 мин",98
Дедушка и внучек,18 мин,18
Ганмен,"The Gunman, 116 мин",116
Стажёр,"The Intern, 121 мин",121
Меняющие реальность,"The Adjustment Bureau, 105 мин",105
Отрыв,82 мин,82
Ромео и Джульетта,"Romeo and Juliet, 138 мин",138
Чем дальше в лес…,"Into the Woods, 125 мин",125
Солнечная линия,68 мин,68
Гран Торино,"Gran Torino, 116 мин",116
Крик тишины,97 мин,97
Ловушка для родителей,"The Parent Trap, 128 мин",128
Корпорация монстров,"Monsters, Inc., 92 мин",92
Гнев,"Wrath of Man, 119 мин",119
Покемон. Детектив Пикачу,"Pokémon: Detective Pikachu, 104 мин",104
Осьминожка,"Octopussy, 131 мин",131
Кодекс вора,"The Code, 104 мин",104
Славные пташки,"PLOEY. You Never Fly Alone, 83 мин",83
Пляж,"The Beach, 119 мин",119
Звёздная пыль,"Stardust, 127 мин",127
Цыпочка,"The Hot Chick, 104 мин",104
В фокусе,"Zoom, 96 мин",96
Приплыли!,87 мин,87
Железный человек 3,"Iron Man Three, 130 мин",130
Проверка на дорогах,97 мин,97
"Папа, могу ли я ездить?","Oči, a lahko jaz šofiram?, 13 мин",13
Команда «А»,"The A-Team, 118 мин",118
13,44 мин,44
Побег,"Prison Break, 43 мин",43
Предательство любовников,48 мин,48
Время,"In Time, 109 мин",109
Избави нас от лукавого,"Deliver Us from Evil, 118 мин",118
Дикарь,"Gauguin - Voyage de Tahiti, 102 мин",102
Петербург. Только по любви,111 мин,111
Вестсайдская история,"West Side Story, 156 мин",156
Убийство в Восточном экспрессе,"Murder on the Orient Express, 114 мин",114
Трансформеры,"Transformers, 143 мин",143
В постели с Викторией,"Victoria, 97 мин",97
Хорошая девочка Лида,14 мин,14
Княжна Мери,105 мин,105
Небесный суд,94 мин,94
Оно 2,"It Chapter Two, 169 мин",169
Ася,5 мин,5
Бар,94 мин,94
Безмолвный яд,"Silent Venom, 84 мин",84
Дом на Турецкой улице,"The House on Turk Street, 103 мин",103
Непокорённый,"Invictus, 134 мин",134
Рок-волна,"Pirate Radio, 129 мин",129
Третья звезда,"Third Star, 92 мин",92
Плохой хороший человек,100 мин,100
Гарри Поттер и Дары Смерти: Часть I,"Harry Potter and the Deathly Hallows - Part 1, 146 мин",146
Снегурочка,90 мин,90
Гангстер,"American Gangster, 157 мин",157
Всё или ничего,"The Longest Yard, 113 мин",113
Трактир на Пятницкой,90 мин,90
Убийства по открыткам,"The Postcard Killings, 91 мин",91
Мой создатель,"Archive, 100 мин",100
Тротуарная плитка,24 мин,24
Не горюй!,90 мин,90
Главный бой Мухаммеда Али,"Muhammad Ali's Greatest Fight, 97 мин",97
Чемпион из Освенцима,"Mistrz, 91 мин",91
Александр Невский,111 мин,111
Плохие мальчики,"Bad Boys, 123 мин",123
Имя ему Смерть,"Pale Rider, 115 мин",115
Так близко к горизонту,"Dem Horizont so nah, 109 мин",109
Дон Сезар де Базан,133 мин,133
Вердикт за деньги,"Runaway Jury, 122 мин",122
В бегах,45 мин,45
Выбор,"The Choice, 111 мин",111
Девять,"9, 80 мин",80
Сказочная рыбка,32 мин,32
Деловые люди,84 мин,84
Бегущий за ветром,"The Kite Runner, 128 мин",128
Новые похождения кота в сапогах,83 мин,83
Во всё тяжкое,"The Professor, 90 мин",90
Пёс под прикрытием,"Agent Toby Barks, 83 мин",83
Ночная смена,96 мин,96
Человек – швейцарский нож,"Swiss Army Man, 97 мин",97
Одноклассницы,80 мин,80
Жизнь в розовом цвете,"La Môme, 140 мин",140
Они ползут за тобой,"Them That Follow, 98 мин",98
Найти и обезвредить,87 мин,87
Мания,"The Novice, 97 мин",97
Билл и Тед,"Bill & Ted Face the Music, 91 мин",91
За витриной универмага,94 мин,94
Я свободен,90 мин,90
Связанные миры,"Ashita sekai ga owaru to shite mo, 93 мин",93
Терминатор: Да придёт спаситель,"Terminator Salvation, 118 мин",118
Черчилль,"The Gathering Storm, 96 мин",96
Звезда,97 мин,97
Обитель зла 3,"Resident Evil: Extinction, 94 мин",94
Страхи,"Beau Is Afraid, 179 мин",179
Формула любви,90 мин,90
Супер 8,"Super 8, 108 мин",108
Ворошиловский стрелок,95 мин,95
Рэмпейдж,"Rampage, 107 мин",107
Приходите завтра...,98 мин,98
Мгновения жизни,"The Life Before Her Eyes, 90 мин",90
Забытое,"The Forgotten, 91 мин",91
Сила девяти богов,"9 Satra, 105 мин",105
Московская горка,13 мин,13
Высшее общество,"High Life, 113 мин",113
Смешарики. Начало,86 мин,86
"Слова, что создали Америку","The Words That Built America, 59 мин",59
Люди в чёрном,"Men in Black, 98 мин",98
Тролли. Мировой тур,"Trolls World Tour, 91 мин",91
Безотцовщина,94 мин,94
Многоэтажка,99 мин,99
Больше чем секс,"No Strings Attached, 108 мин",108
Дориан Грей,"Dorian Gray, 112 мин",112
Сдается жилье,91 мин,91
Дочь рыбака,70 мин,70
Счастливчик Гилмор,"Happy Gilmore, 92 мин",92
Заложники,"Retribution, 91 мин",91
Доля ангелов,"The Angels' Share, 106 мин",106
Лев и заяц,10 мин,10
Остров фантазий,"Fantasy Island, 109 мин",109
Мадагаскар 3,"Madagascar 3: Europe's Most Wanted, 95 мин",95
Зимняя лягушка,"Grenouille d'hiver, 18 мин",18
Феррелл выходит на поле,"Ferrell Takes the Field, 49 мин",49
Невыполнимое задание,"Mission: Impossible, 110 мин",110
Тарзан. Легенда,"The Legend of Tarzan, 110 мин",110
Видения,"Visions, 83 мин",83
Заложница 3,"Taken 3, 108 мин",108
Вооруженный ответ,"Armed Response, 93 мин",93
Последний дюйм,88 мин,88
Призрачная красота,"Collateral Beauty, 97 мин",97
Пункт назначения 3,"Final Destination 3, 93 мин",93
Очень плохая училка,"Bad Teacher, 89 мин",89
Хотел бы я быть здесь,"Wish I Was Here, 106 мин",106
Она,"Her, 126 мин",126
Крейсер Аврора,18 мин,18
Моя девушка - монстр,"Colossal, 110 мин",110
Врата тьмы,"Pay the Ghost, 94 мин",94
Два хвоста,75 мин,75
Прекрасный день по соседству,"A Beautiful Day in the Neighborhood, 109 мин",109
Тайна Ордена,"The Order, 89 мин",89
Кадры,"The Internship, 119 мин",119
Осень в Нью-Йорке,"Autumn in New York, 103 мин",103
Диана: История любви,"Diana, 112 мин",112
Мама выходит на работу,92 мин,92
Неподдающиеся,76 мин,76
Рокки 2,"Rocky II, 119 мин",119
Плохие парни навсегда,"Bad Boys for Life, 124 мин",124
Совокупность лжи,"Body of Lies, 128 мин",128
Хозяин джунглей,"El Ardor, 101 мин",101
Город воров,"The Town, 124 мин",124
Цвета любви,"Colors of Love, 110 мин",110
Обещание на рассвете,"La promesse de l'aube, 131 мин",131
Интервью с Богом,"An Interview with God, 97 мин",97
Море,"Serenity, 106 мин",106
На следующее утро,"The Morning After, 103 мин",103
Код 8,"Code 8, 98 мин",98
Личный досмотр,"Strip Search, 120 мин",120
Гнев Титанов,"Wrath of the Titans, 99 мин",99
Счастливый конец,97 мин,97
Ужин для избранных,"Dinner for Few, 10 мин",10
Оптом дешевле,"Cheaper by the Dozen, 98 мин",98
Выживут только любовники,"Only Lovers Left Alive, 118 мин",118
В клетке,50 мин,50
Опасный груз,"To Be Delivered, 17 мин",17
Йога - это сексуально,26 мин,26
Мое тайное место,"Children of the Universe, 53 мин",53
Асса,153 мин,153
Лето,128 мин,128
Алкогольная зависимость. Выход,"Race, 149 мин",149
Мой ужасный сосед,"A Man Called Otto, 126 мин",126
Гарри Поттер и Дары Смерти: Часть II,"Harry Potter and the Deathly Hallows - Part 2, 130 мин",130
Женитьба Бальзаминова,90 мин,90
Капитанская дочка,99 мин,99
Клиент,"Six Feet Under, 55 мин",55
Труп невесты,"Corpse Bride, 77 мин",77
Бесславные ублюдки,"Inglourious Basterds, 153 мин",153
Путешествие к Рождественской звезде,"Reisen til julestjernen, 80 мин",80
Ребро Адама,79 мин,79
Белль и Себастьян,"Belle et Sébastien, 104 мин",104
Tom Corsa & Boston — «Именно»,"The Desperate Hour, 84 мин",84
Энни,"Annie, 118 мин",118
Завтра была война,89 мин,89
Большой кошачий побег,"Cats & Peachtopia, 85 мин",85
Город грехов,"Sin City, 124 мин",124
Женские фантазии,"Women Talking, 104 мин",104
Проповедник,"Preacher, 60 мин",60
Тридцать три,77 мин,77
Она,"Her, 126 мин",126
Телекинез,"Carrie, 100 мин",100
Это мы не проходили,99 мин,99
"Бубен, барабан",105 мин,105
Секретарша,"Secretary, 107 мин",107
Кувшинки,9 мин,9
effect_placeba,"Placebo Effect, 86 мин",86
Мужики!..,97 мин,97
Дикие предки (2022),95 мин,95
Выпуск 2,96 мин,96
Kingsman: Секретная служба,"Kingsman: The Secret Service, 130 мин",130
К звездам,"Ad Astra, 123 мин",123
Шофер поневоле,93 мин,93
"Шпион, который меня любил","The Spy Who Loved Me, 125 мин",125
Любовь слепа,"Fanaa, 168 мин",168
Заводной апельсин,"A Clockwork Orange, 137 мин",137
Куш собачий,"Lucky, 90 мин",90
Отвязные каникулы,"Spring Breakers, 94 мин",94
Двойные стандарты,"The Dynamic Double Standard, 5 мин",5
Мир Юрского периода,"Jurassic World, 125 мин",125
Зимнее время,82 мин,82
Семейка Бигфутов,"Bigfoot Family, 89 мин",89
Время под солнцем,15 мин,15
"Человек, который молчал",85 мин,85
Хэллоуин,"Halloween, 101 мин",101
Монстр-траки,"Monster Trucks, 104 мин",104
Лекарство,"A Cure for Wellness, 146 мин",146
Элвин и бурундуки,"Alvin and the Chipmunks, 87 мин",87
Оз: Возвращение в Изумрудный Город,"Legends of Oz: Dorothy's Return, 88 мин",88
"С днём рождения, Лола!",81 мин,81
Мама Миа 2,"Mamma Mia! Here We Go Again, 114 мин",114
Человек из стали,"Man of Steel, 143 мин",143
Спасатели,"Baywatch, 116 мин",116
Особое мнение,"Minority Report, 145 мин",145
Апгрейд,"Upgrade, 100 мин",100
Стив Джобс,"Steve Jobs, 122 мин",122
Времена в английском,"The Imitation Game, 114 мин",114
Трактористы,88 мин,88
Как сумасшедший,"Like Crazy, 86 мин",86
Зачарованная,"Enchanted, 103 мин",103
Восстановление после родов,"Yoga for Postnatal Vitality, 90 мин",90
Кольцо времени,"Volition, 91 мин",91
Тренер Картер,"Coach Carter, 136 мин",136
Самый лучший день,112 мин,112
Игра смерти,"Ijae, got jukseupnida, 413 мин",413
В поисках Дори,"Finding Dory, 97 мин",97
На цепи,"Chained, 94 мин",94
Поиск,"Searching, 102 мин",102
Секс свидания,"Amorestremo, 96 мин",96
Сахар,"That Sugar Film, 103 мин",103
Бэнкси,"Banksy and the Rise of Outlaw Art, 112 мин",112
Туннель,"Teoneol, 60 мин",60
Любовь с риском для жизни,"La chance de ma vie, 87 мин",87
Хилари и я,"It's Me, Hilary: The Man Who Drew Eloise, 36 мин",36
Протест VI,"Einspruch VI, 17 мин",17
Жизнь Адель,"La vie d'Adèle, 179 мин",179
На моем месте,"In My Skin, 30 мин",30
Крик 4,"Scream 4, 111 мин",111
Крид 2,"Creed II, 130 мин",130
Дорога к звездам,49 мин,49
Рабочий посёлок,138 мин,138
Соник в кино,"Sonic the Hedgehog, 99 мин",99
Чистильщик,"Cleaner, 88 мин",88
Трасса 60,"Interstate 60, 116 мин",116
Добровольцы,97 мин,97
Мисс Поттер,"Miss Potter, 88 мин",88
Притяжение,132 мин,132
Бэтмен,"The Batman, 176 мин",176
Величайший кутюрье,"Celebration, 74 мин",74
Твердая обложка,"Hardcover, 12 мин",12
Дни грома,"Days of Thunder, 107 мин",107
Яна+Янко,93 мин,93
Земное ядро,"The Core, 135 мин",135
Дорогой мой человек,102 мин,102
Новые мутанты,"The New Mutants, 94 мин",94
Самая безумная свадьба,"Qu'est-ce qu'on a encore fait au bon Dieu?, 105 мин",105
Царская охота,134 мин,134
Каникулы off-line,90 мин,90
Ветер усиливается,"Visak vjetra, 25 мин",25
30 дней ночи,"30 Days of Night, 113 мин",113
Нокаут,"Haywire, 93 мин",93
Дневник директора школы,73 мин,73
Мы - одна команда,"We Are Marshall, 131 мин",131
Отымей меня 3,"I Wanna Get Face Fucked 3, 180 мин",180
Небывальщина,80 мин,80
Времена детства,107 мин,107
Сказка о царе Салтане,53 мин,53
Тесты для настоящих мужчин,69 мин,69
Охотники за привидениями 2,"Ghostbusters II, 108 мин",108
Мастер,500 мин,500
Первому игроку приготовиться,"Ready Player One, 140 мин",140
Тренировочный день,"Training Day, 122 мин",122
Зорро,"Zorro, 40 мин",40
Вписка,"Shithouse, 100 мин",100
Необыкновенная история на Рождество,"The Man Who Invented Christmas, 104 мин",104
Королевство полной луны,"Moonrise Kingdom, 90 мин",90
Гусарская баллада,96 мин,96
Высший класс,"Haikolraeseu, 70 мин",70
Английский пациент,"The English Patient, 162 мин",162
Ромео и Джульетта,"Romeo and Juliet, 138 мин",138
"Кавказская пленница, или Новые приключения Шурика",82 мин,82
Марвелы,"The Marvels, 105 мин",105
Фиксики: Большой секрет,80 мин,80
Тихое место,"A Quiet Place, 90 мин",90
Симона,"S1m0ne, 117 мин",117
Новогодний 2022,"To Catch A Killer, 119 мин",119
Слепой,51 мин,51
М+Ж,75 мин,75
Босс-молокосос 2,"The Boss Baby: Family Business, 107 мин",107
Кармен,113 мин,113
Мир входящему,84 мин,84
Кавалерия,"12 Strong, 130 мин",130
Кроличья нора,"Rabbit Hole, 91 мин",91
Хороший год,"A Good Year, 117 мин",117
Анна Каренина,"Anna Karenina, 129 мин",129
G.I. Joe: Бросок кобры 2,"G.I. Joe: Retaliation, 110 мин",110
Опасная иллюзия,"The Necessary Death of Charlie Countryman, 103 мин",103
Опасный сын,"A Dangerous Son, 86 мин",86
В семье не без священника,"Se Dio vuole, 87 мин",87
Настоящий гламур,"Like a Boss, 83 мин",83
Смешанные,"Blended, 117 мин",117
Тёмные воды,"Dark Waters, 126 мин",126
Пение лягушек,"Shrek, 90 мин",90
Страна грез,"Dreamland, 100 мин",100
Мужчина и женщина: лучшие годы,"Les plus belles années d'une vie, 90 мин",90
За гранью жизни,"Out of Death, 95 мин",95
Марья-искусница,74 мин,74
Девушка из Джерси,"Jersey Girl, 98 мин",98
Вечная жизнь,104 мин,104
Солдаты,48 мин,48
"Прощай, Париж","Adieu Paris, 97 мин",97
Фитнес. Фильм о фильме,"The Substance, 140 мин",140
Весь этот мир,"Everything, Everything, 96 мин",96
Честь дракона 2,"Tom yum goong 2, 100 мин",100
"Не могу сказать ""прощай""",91 мин,91
Туннель: Опасно для жизни,"Tunnelen, 105 мин",105
Звездные врата,"Stargate, 116 мин",116
Гонка,"Rush, 123 мин",123
Человек в железной маске,"The Man in the Iron Mask, 132 мин",132
Старски и Хатч,"Starsky & Hutch, 101 мин",101
Чарли и шоколадная фабрика,"Charlie and the Chocolate Factory, 115 мин",115
Бессмертная песня,72 мин,72
Три толстяка,85 мин,85
Он и она,"Mr & Mme Adelman, 120 мин",120
Тачки 2,"Cars 2, 112 мин",112
Американский пирог,"American Pie, 96 мин",96
Двадцать дней без войны,101 мин,101
Дневники нимфоманок,"Diario de una ninfómana, 101 мин",101
Вороны: Продолжение,"Kurozu zero II, 133 мин",133
Слет выпускников 2,"Klases Salidojums 2, 97 мин",97
Стажёр,"The Intern, 121 мин",121
Девятая,99 мин,99
Оптом дешевле 2,"Cheaper by the Dozen 2, 94 мин",94
Чего хотят мужчины,"What Men Want, 117 мин",117
Аладдин,"Aladdin, 90 мин",90
Любовь в квадрате,"Miwosch do kwadratu, 102 мин",102
Стать Джоном Ленноном,"Nowhere Boy, 98 мин",98
Тайна дома с часами,"The House with a Clock in Its Walls, 105 мин",105
Любовь по правилам и без,"Something's Gotta Give, 128 мин",128
Дрон,"Murder Drones, 20 мин",20
Девочка ищет отца,92 мин,92
